Image,Score
ISIC_0000000.jpg,[0.0233154296875]
ISIC_0000001.jpg,[0.03509521484375]
ISIC_0000002.jpg,[0.0128936767578125]
ISIC_0000003.jpg,[0.0242462158203125]
ISIC_0000004.jpg,[0.020172119140625]
ISIC_0000006.jpg,[0.0197601318359375]
ISIC_0000007.jpg,[0.022064208984375]
ISIC_0000008.jpg,[0.0190277099609375]
ISIC_0000009.jpg,[0.01934814453125]
ISIC_0000010.jpg,[0.0257568359375]
ISIC_0000011.jpg,[0.0130767822265625]
ISIC_0000012.jpg,[0.0227508544921875]
ISIC_0000013.jpg,[0.027069091796875]
ISIC_0000014.jpg,[0.015655517578125]
ISIC_0000015.jpg,[0.0203857421875]
ISIC_0000016.jpg,[0.02764892578125]
ISIC_0000017.jpg,[0.0212249755859375]
ISIC_0000018.jpg,[0.01506805419921875]
ISIC_0000019.jpg,[0.01136016845703125]
ISIC_0000020.jpg,[0.01214599609375]
ISIC_0000021.jpg,[0.00922393798828125]
ISIC_0000022.jpg,[0.01451873779296875]
ISIC_0000023.jpg,[0.0161285400390625]
ISIC_0000024.jpg,[0.0236663818359375]
ISIC_0000025.jpg,[0.01462554931640625]
ISIC_0000026.jpg,[0.0205230712890625]
ISIC_0000027.jpg,[0.023040771484375]
ISIC_0000028.jpg,[0.0203399658203125]
ISIC_0000029.jpg,[0.0173492431640625]
ISIC_0000030.jpg,[0.01097869873046875]
ISIC_0000031.jpg,[0.00970458984375]
ISIC_0000032.jpg,[0.01030731201171875]
ISIC_0000034.jpg,[0.0194244384765625]
ISIC_0000035.jpg,[0.015869140625]
ISIC_0000036.jpg,[0.0253143310546875]
ISIC_0000037.jpg,[0.01433563232421875]
ISIC_0000038.jpg,[0.009765625]
ISIC_0000039.jpg,[0.032684326171875]
ISIC_0000040.jpg,[0.0295257568359375]
ISIC_0000041.jpg,[0.0310211181640625]
ISIC_0000042.jpg,[0.01136016845703125]
ISIC_0000043.jpg,[0.00753021240234375]
ISIC_0000044.jpg,[0.01496124267578125]
ISIC_0000045.jpg,[0.0238494873046875]
ISIC_0000046.jpg,[0.0193328857421875]
ISIC_0000047.jpg,[0.0193328857421875]
ISIC_0000048.jpg,[0.0172576904296875]
ISIC_0000049.jpg,[0.00858306884765625]
ISIC_0000050.jpg,[0.015533447265625]
ISIC_0000051.jpg,[0.00804901123046875]
ISIC_0000052.jpg,[0.0139923095703125]
ISIC_0000053.jpg,[0.0098724365234375]
ISIC_0000054.jpg,[0.01300811767578125]
ISIC_0000055.jpg,[0.01324462890625]
ISIC_0000056.jpg,[0.01018524169921875]
ISIC_0000057.jpg,[0.0156402587890625]
ISIC_0000058.jpg,[0.01361083984375]
ISIC_0000059.jpg,[0.01329803466796875]
ISIC_0000060.jpg,[0.017486572265625]
ISIC_0000061.jpg,[0.0125274658203125]
ISIC_0000062.jpg,[0.0258331298828125]
ISIC_0000063.jpg,[0.00978851318359375]
ISIC_0000064.jpg,[0.0158538818359375]
ISIC_0000065.jpg,[0.01357269287109375]
ISIC_0000066.jpg,[0.0212860107421875]
ISIC_0000067.jpg,[0.0162353515625]
ISIC_0000068.jpg,[0.024017333984375]
ISIC_0000069.jpg,[0.01441192626953125]
ISIC_0000071.jpg,[0.021759033203125]
ISIC_0000072.jpg,[0.0169677734375]
ISIC_0000073.jpg,[0.05328369140625]
ISIC_0000074.jpg,[0.0131072998046875]
ISIC_0000075.jpg,[0.0178070068359375]
ISIC_0000077.jpg,[0.0192718505859375]
ISIC_0000078.jpg,[0.019073486328125]
ISIC_0000079.jpg,[0.020660400390625]
ISIC_0000080.jpg,[0.0234527587890625]
ISIC_0000081.jpg,[0.01306915283203125]
ISIC_0000082.jpg,[0.01488494873046875]
ISIC_0000085.jpg,[0.01392364501953125]
ISIC_0000086.jpg,[0.0076904296875]
ISIC_0000087.jpg,[0.01064300537109375]
ISIC_0000088.jpg,[0.00839996337890625]
ISIC_0000089.jpg,[0.00809478759765625]
ISIC_0000091.jpg,[0.015838623046875]
ISIC_0000092.jpg,[0.0242156982421875]
ISIC_0000093.jpg,[0.0213623046875]
ISIC_0000094.jpg,[0.01445770263671875]
ISIC_0000095.jpg,[0.01413726806640625]
ISIC_0000096.jpg,[0.0123748779296875]
ISIC_0000097.jpg,[0.01537322998046875]
ISIC_0000098.jpg,[0.0258941650390625]
ISIC_0000099.jpg,[0.009613037109375]
ISIC_0000100.jpg,[0.01218414306640625]
ISIC_0000101.jpg,[0.020782470703125]
ISIC_0000102.jpg,[0.01522064208984375]
ISIC_0000103.jpg,[0.007396697998046875]
ISIC_0000104.jpg,[0.024688720703125]
ISIC_0000105.jpg,[0.014801025390625]
ISIC_0000107.jpg,[0.00908660888671875]
ISIC_0000108.jpg,[0.0228424072265625]
ISIC_0000109.jpg,[0.00389862060546875]
ISIC_0000110.jpg,[0.02667236328125]
ISIC_0000111.jpg,[0.0064239501953125]
ISIC_0000112.jpg,[0.01459503173828125]
ISIC_0000113.jpg,[0.033721923828125]
ISIC_0000115.jpg,[0.0107879638671875]
ISIC_0000116.jpg,[0.00943756103515625]
ISIC_0000117.jpg,[0.012054443359375]
ISIC_0000118.jpg,[0.02276611328125]
ISIC_0000119.jpg,[0.017608642578125]
ISIC_0000120.jpg,[0.00634002685546875]
ISIC_0000121.jpg,[0.031524658203125]
ISIC_0000122.jpg,[0.00695037841796875]
ISIC_0000123.jpg,[0.011016845703125]
ISIC_0000124.jpg,[0.00646209716796875]
ISIC_0000125.jpg,[0.0298004150390625]
ISIC_0000126.jpg,[0.0111083984375]
ISIC_0000127.jpg,[0.018890380859375]
ISIC_0000128.jpg,[0.018524169921875]
ISIC_0000129.jpg,[0.031951904296875]
ISIC_0000130.jpg,[0.0292510986328125]
ISIC_0000131.jpg,[0.0192413330078125]
ISIC_0000132.jpg,[0.01800537109375]
ISIC_0000133.jpg,[0.01458740234375]
ISIC_0000134.jpg,[0.03662109375]
ISIC_0000135.jpg,[0.0229949951171875]
ISIC_0000136.jpg,[0.006114959716796875]
ISIC_0000137.jpg,[0.00885009765625]
ISIC_0000138.jpg,[0.016571044921875]
ISIC_0000139.jpg,[0.01111602783203125]
ISIC_0000140.jpg,[0.00836181640625]
ISIC_0000141.jpg,[0.0202178955078125]
ISIC_0000142.jpg,[0.01201629638671875]
ISIC_0000143.jpg,[0.00640869140625]
ISIC_0000145.jpg,[0.006053924560546875]
ISIC_0000146.jpg,[0.0103302001953125]
ISIC_0000147.jpg,[0.004848480224609375]
ISIC_0000148.jpg,[0.0231475830078125]
ISIC_0000149.jpg,[0.00545501708984375]
ISIC_0000150.jpg,[0.009490966796875]
ISIC_0000151.jpg,[0.01486968994140625]
ISIC_0000152.jpg,[0.014495849609375]
ISIC_0000153.jpg,[0.0076904296875]
ISIC_0000154.jpg,[0.0144805908203125]
ISIC_0000155.jpg,[0.005832672119140625]
ISIC_0000156.jpg,[0.0102386474609375]
ISIC_0000157.jpg,[0.020111083984375]
ISIC_0000159.jpg,[0.0135498046875]
ISIC_0000160.jpg,[0.0130462646484375]
ISIC_0000161.jpg,[0.0191192626953125]
ISIC_0000162.jpg,[0.0165252685546875]
ISIC_0000163.jpg,[0.0238494873046875]
ISIC_0000164.jpg,[0.01314544677734375]
ISIC_0000165.jpg,[0.022705078125]
ISIC_0000166.jpg,[0.01450347900390625]
ISIC_0000167.jpg,[0.011505126953125]
ISIC_0000169.jpg,[0.01128387451171875]
ISIC_0000170.jpg,[0.00826263427734375]
ISIC_0000171.jpg,[0.01548004150390625]
ISIC_0000172.jpg,[0.0211944580078125]
ISIC_0000173.jpg,[0.01175689697265625]
ISIC_0000174.jpg,[0.00902557373046875]
ISIC_0000175.jpg,[0.026763916015625]
ISIC_0000176.jpg,[0.029998779296875]
ISIC_0000177.jpg,[0.032745361328125]
ISIC_0000179.jpg,[0.0301971435546875]
ISIC_0000181.jpg,[0.0285797119140625]
ISIC_0000182.jpg,[0.0160064697265625]
ISIC_0000183.jpg,[0.01763916015625]
ISIC_0000184.jpg,[0.032012939453125]
ISIC_0000185.jpg,[0.01488494873046875]
ISIC_0000186.jpg,[0.0382080078125]
ISIC_0000187.jpg,[0.0212249755859375]
ISIC_0000188.jpg,[0.0214385986328125]
ISIC_0000189.jpg,[0.032257080078125]
ISIC_0000190.jpg,[0.0125732421875]
ISIC_0000191.jpg,[0.01016998291015625]
ISIC_0000192.jpg,[0.019683837890625]
ISIC_0000193.jpg,[0.01446533203125]
ISIC_0000196.jpg,[0.0113983154296875]
ISIC_0000197.jpg,[0.0100250244140625]
ISIC_0000198.jpg,[0.019683837890625]
ISIC_0000199.jpg,[0.03643798828125]
ISIC_0000200.jpg,[0.033721923828125]
ISIC_0000201.jpg,[0.042266845703125]
ISIC_0000202.jpg,[0.0158843994140625]
ISIC_0000203.jpg,[0.01104736328125]
ISIC_0000204.jpg,[0.0095672607421875]
ISIC_0000205.jpg,[0.01146697998046875]
ISIC_0000206.jpg,[0.0183563232421875]
ISIC_0000207.jpg,[0.01922607421875]
ISIC_0000208.jpg,[0.01079559326171875]
ISIC_0000209.jpg,[0.0157012939453125]
ISIC_0000210.jpg,[0.0169525146484375]
ISIC_0000211.jpg,[0.036956787109375]
ISIC_0000212.jpg,[0.0168304443359375]
ISIC_0000213.jpg,[0.019439697265625]
ISIC_0000214.jpg,[0.01428985595703125]
ISIC_0000215.jpg,[0.0177459716796875]
ISIC_0000216.jpg,[0.0306243896484375]
ISIC_0000217.jpg,[0.017669677734375]
ISIC_0000218.jpg,[0.019561767578125]
ISIC_0000219.jpg,[0.0164642333984375]
ISIC_0000220.jpg,[0.0252532958984375]
ISIC_0000221.jpg,[0.030487060546875]
ISIC_0000222.jpg,[0.02752685546875]
ISIC_0000223.jpg,[0.033294677734375]
ISIC_0000224.jpg,[0.01180267333984375]
ISIC_0000225.jpg,[0.0247650146484375]
ISIC_0000226.jpg,[0.0188140869140625]
ISIC_0000227.jpg,[0.0254974365234375]
ISIC_0000228.jpg,[0.0239410400390625]
ISIC_0000229.jpg,[0.01001739501953125]
ISIC_0000230.jpg,[0.0144805908203125]
ISIC_0000231.jpg,[0.0166015625]
ISIC_0000232.jpg,[0.033966064453125]
ISIC_0000233.jpg,[0.031036376953125]
ISIC_0000234.jpg,[0.018463134765625]
ISIC_0000235.jpg,[0.04296875]
ISIC_0000236.jpg,[0.01535797119140625]
ISIC_0000237.jpg,[0.009613037109375]
ISIC_0000239.jpg,[0.025482177734375]
ISIC_0000240.jpg,[0.0152740478515625]
ISIC_0000242.jpg,[0.01214599609375]
ISIC_0000243.jpg,[0.0176544189453125]
ISIC_0000244.jpg,[0.01169586181640625]
ISIC_0000245.jpg,[0.007122039794921875]
ISIC_0000246.jpg,[0.015533447265625]
ISIC_0000247.jpg,[0.035552978515625]
ISIC_0000249.jpg,[0.0289306640625]
ISIC_0000250.jpg,[0.022216796875]
ISIC_0000251.jpg,[0.023468017578125]
ISIC_0000252.jpg,[0.025115966796875]
ISIC_0000253.jpg,[0.01558685302734375]
ISIC_0000254.jpg,[0.021209716796875]
ISIC_0000255.jpg,[0.016754150390625]
ISIC_0000256.jpg,[0.02667236328125]
ISIC_0000258.jpg,[0.009765625]
ISIC_0000259.jpg,[0.013824462890625]
ISIC_0000260.jpg,[0.02581787109375]
ISIC_0000261.jpg,[0.02557373046875]
ISIC_0000262.jpg,[0.0261383056640625]
ISIC_0000263.jpg,[0.0168609619140625]
ISIC_0000264.jpg,[0.00882720947265625]
ISIC_0000265.jpg,[0.0204925537109375]
ISIC_0000268.jpg,[0.017913818359375]
ISIC_0000269.jpg,[0.0288848876953125]
ISIC_0000271.jpg,[0.02313232421875]
ISIC_0000274.jpg,[0.028564453125]
ISIC_0000275.jpg,[0.0297698974609375]
ISIC_0000276.jpg,[0.033233642578125]
ISIC_0000277.jpg,[0.035003662109375]
ISIC_0000278.jpg,[0.0102691650390625]
ISIC_0000279.jpg,[0.0123443603515625]
ISIC_0000281.jpg,[0.0297393798828125]
ISIC_0000282.jpg,[0.0271759033203125]
ISIC_0000283.jpg,[0.01910400390625]
ISIC_0000285.jpg,[0.007843017578125]
ISIC_0000287.jpg,[0.033660888671875]
ISIC_0000288.jpg,[0.01323699951171875]
ISIC_0000289.jpg,[0.00791168212890625]
ISIC_0000290.jpg,[0.03955078125]
ISIC_0000292.jpg,[0.013946533203125]
ISIC_0000293.jpg,[0.01204681396484375]
ISIC_0000294.jpg,[0.0159759521484375]
ISIC_0000295.jpg,[0.0169830322265625]
ISIC_0000297.jpg,[0.01654052734375]
ISIC_0000298.jpg,[0.0270538330078125]
ISIC_0000299.jpg,[0.01446533203125]
ISIC_0000300.jpg,[0.0153961181640625]
ISIC_0000301.jpg,[0.0263519287109375]
ISIC_0000302.jpg,[0.0118408203125]
