Image,Score
ISIC_0000000.jpg,[0.1568603515625]
ISIC_0000001.jpg,[0.29931640625]
ISIC_0000002.jpg,[0.25]
ISIC_0000003.jpg,[0.1951904296875]
ISIC_0000004.jpg,[0.375]
ISIC_0000006.jpg,[0.2880859375]
ISIC_0000007.jpg,[0.290771484375]
ISIC_0000008.jpg,[0.25244140625]
ISIC_0000009.jpg,[0.490966796875]
ISIC_0000010.jpg,[0.182373046875]
ISIC_0000011.jpg,[0.1915283203125]
ISIC_0000012.jpg,[0.33544921875]
ISIC_0000013.jpg,[0.1448974609375]
ISIC_0000014.jpg,[0.252685546875]
ISIC_0000015.jpg,[0.295166015625]
ISIC_0000016.jpg,[0.2164306640625]
ISIC_0000017.jpg,[0.396240234375]
ISIC_0000018.jpg,[0.33740234375]
ISIC_0000019.jpg,[0.3544921875]
ISIC_0000020.jpg,[0.491943359375]
ISIC_0000021.jpg,[0.4677734375]
ISIC_0000022.jpg,[0.37744140625]
ISIC_0000023.jpg,[0.314208984375]
ISIC_0000024.jpg,[0.364501953125]
ISIC_0000025.jpg,[0.37060546875]
ISIC_0000026.jpg,[0.27294921875]
ISIC_0000027.jpg,[0.403076171875]
ISIC_0000028.jpg,[0.355224609375]
ISIC_0000029.jpg,[0.302490234375]
ISIC_0000030.jpg,[0.278564453125]
ISIC_0000031.jpg,[0.458251953125]
ISIC_0000032.jpg,[0.5322265625]
ISIC_0000034.jpg,[0.3525390625]
ISIC_0000035.jpg,[0.259521484375]
ISIC_0000036.jpg,[0.406494140625]
ISIC_0000037.jpg,[0.2529296875]
ISIC_0000038.jpg,[0.366943359375]
ISIC_0000039.jpg,[0.37890625]
ISIC_0000040.jpg,[0.26611328125]
ISIC_0000041.jpg,[0.216796875]
ISIC_0000042.jpg,[0.38330078125]
ISIC_0000043.jpg,[0.415771484375]
ISIC_0000044.jpg,[0.350830078125]
ISIC_0000045.jpg,[0.466796875]
ISIC_0000046.jpg,[0.317626953125]
ISIC_0000047.jpg,[0.25634765625]
ISIC_0000048.jpg,[0.556640625]
ISIC_0000049.jpg,[0.435546875]
ISIC_0000050.jpg,[0.27880859375]
ISIC_0000051.jpg,[0.319091796875]
