Image,Score
ISIC_0000000.jpg,[0.352783203125]
ISIC_0000001.jpg,[0.482421875]
ISIC_0000002.jpg,[0.43359375]
ISIC_0000003.jpg,[0.445068359375]
ISIC_0000004.jpg,[0.54833984375]
ISIC_0000006.jpg,[0.35498046875]
ISIC_0000007.jpg,[0.422119140625]
ISIC_0000008.jpg,[0.4150390625]
ISIC_0000009.jpg,[0.496337890625]
ISIC_0000010.jpg,[0.442138671875]
ISIC_0000011.jpg,[0.31396484375]
ISIC_0000012.jpg,[0.57177734375]
ISIC_0000013.jpg,[0.427490234375]
ISIC_0000014.jpg,[0.441162109375]
ISIC_0000015.jpg,[0.498046875]
ISIC_0000016.jpg,[0.250244140625]
ISIC_0000017.jpg,[0.457275390625]
ISIC_0000018.jpg,[0.48876953125]
ISIC_0000019.jpg,[0.52734375]
ISIC_0000020.jpg,[0.517578125]
ISIC_0000021.jpg,[0.5615234375]
ISIC_0000022.jpg,[0.5595703125]
ISIC_0000023.jpg,[0.445068359375]
ISIC_0000024.jpg,[0.5810546875]
ISIC_0000025.jpg,[0.48828125]
ISIC_0000026.jpg,[0.427001953125]
ISIC_0000027.jpg,[0.5234375]
ISIC_0000028.jpg,[0.5048828125]
ISIC_0000029.jpg,[0.4462890625]
ISIC_0000030.jpg,[0.418212890625]
ISIC_0000031.jpg,[0.479248046875]
ISIC_0000032.jpg,[0.6650390625]
ISIC_0000034.jpg,[0.483642578125]
ISIC_0000035.jpg,[0.400390625]
ISIC_0000036.jpg,[0.40234375]
ISIC_0000037.jpg,[0.33203125]
ISIC_0000038.jpg,[0.47705078125]
ISIC_0000039.jpg,[0.453125]
ISIC_0000040.jpg,[0.43115234375]
ISIC_0000041.jpg,[0.457275390625]
ISIC_0000042.jpg,[0.5810546875]
ISIC_0000043.jpg,[0.64501953125]
ISIC_0000044.jpg,[0.4482421875]
ISIC_0000045.jpg,[0.46435546875]
ISIC_0000046.jpg,[0.47607421875]
ISIC_0000047.jpg,[0.339111328125]
ISIC_0000048.jpg,[0.4853515625]
ISIC_0000049.jpg,[0.57470703125]
ISIC_0000050.jpg,[0.488037109375]
ISIC_0000051.jpg,[0.5634765625]
ISIC_0000052.jpg,[0.4599609375]
ISIC_0000053.jpg,[0.435302734375]
ISIC_0000054.jpg,[0.438232421875]
ISIC_0000055.jpg,[0.39599609375]
ISIC_0000056.jpg,[0.443603515625]
ISIC_0000057.jpg,[0.54931640625]
ISIC_0000058.jpg,[0.45947265625]
ISIC_0000059.jpg,[0.493896484375]
ISIC_0000060.jpg,[0.51904296875]
ISIC_0000061.jpg,[0.399169921875]
ISIC_0000062.jpg,[0.40234375]
ISIC_0000063.jpg,[0.51171875]
ISIC_0000064.jpg,[0.53271484375]
ISIC_0000065.jpg,[0.5234375]
ISIC_0000066.jpg,[0.427734375]
ISIC_0000067.jpg,[0.46728515625]
ISIC_0000068.jpg,[0.5283203125]
ISIC_0000069.jpg,[0.544921875]
ISIC_0000071.jpg,[0.49658203125]
ISIC_0000072.jpg,[0.469970703125]
ISIC_0000073.jpg,[0.33935546875]
ISIC_0000074.jpg,[0.5771484375]
ISIC_0000075.jpg,[0.46044921875]
ISIC_0000077.jpg,[0.4423828125]
ISIC_0000078.jpg,[0.460205078125]
ISIC_0000079.jpg,[0.4384765625]
ISIC_0000080.jpg,[0.5830078125]
ISIC_0000081.jpg,[0.60400390625]
ISIC_0000082.jpg,[0.450927734375]
ISIC_0000085.jpg,[0.69580078125]
ISIC_0000086.jpg,[0.56201171875]
ISIC_0000087.jpg,[0.56396484375]
ISIC_0000088.jpg,[0.6240234375]
ISIC_0000089.jpg,[0.438232421875]
ISIC_0000091.jpg,[0.6337890625]
ISIC_0000092.jpg,[0.52490234375]
ISIC_0000093.jpg,[0.47900390625]
ISIC_0000094.jpg,[0.59130859375]
ISIC_0000095.jpg,[0.73876953125]
